ServiceName,RpoName,SchemeType,LastWeekCount,LastMonthCount,YearTillDate,Date
"Application Fee Online Payment - Mode Wise","RPO Cochin","Credit/ Debit Card",4976100,24274950,209132900,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Cochin",Online,6804650,31077050,312195900,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Cochin",FRESH,5106,24376,230486,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Cochin",PCC,1025,4467,39308,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Cochin",REISSUE,3859,18371,176519,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Cochin","No Verification",2341,10941,107520,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Cochin","Post Verification",2124,10216,92496,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Cochin","Pre Verification",5133,24614,227686,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Cochin","More than 21 Days",10,78,2612,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Cochin","Within 21 Days",5750,25366,238027,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Coimbatore",Normal,2557,12432,143869,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Coimbatore",Tatkaal,43,184,2330,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Coimbatore",FEMALE,1021,4919,57990,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Coimbatore",MALE,1579,7693,88195,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Coimbatore",TRANSGENDER,0,1,2,"2019-11-03 04:29:09.831353"
"Applications with Aadhaar Number","RPO Coimbatore","Count of Applications",2600,12613,146187,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Coimbatore","10TH PASS AND ABOVE",686,3545,44204,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Coimbatore","5TH PASS OR LESS",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Coimbatore","BETWEEN 6TH AND 9TH STANDARD",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Coimbatore","GRADUATE AND ABOVE",1173,5292,61179,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Coimbatore",Between_18_to_35,1328,6106,73594,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Coimbatore",Between_36_to_60,683,3658,41701,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Coimbatore",GreaterThan60,147,888,11262,"2019-11-03 04:29:09.831353"
